Year,Region,crop_type,Area_cultivatedHa,Productionkg,Yeild_kg/ha
2002,4,1,5110.06,10986748,2150
2011,9,4,216878.62,466394047,2150
2017,0,4,1555.78,3338260,2146
2015,2,4,64264.39,137852785,2145
2016,1,2,256064.53,54275220,2145
2011,6,4,739361.26,1580545093,2138
2017,6,3,20656.17,44128318,2136
2020,9,6,121471.1,259339841,2135
2015,1,4,655671.97,1396664583,2130
2006,1,1,341083.52,725680151,2128
2016,1,4,644263.75,1366961233,2122
2015,7,4,116887.44,247740287,2119
2014,1,6,52948.64,1119991322,2115
2015,5,1,1300.31,2747185,2113
2019,9,6,119580.03,251411295,2102
1996,6,1,699620.0,1466028000,2095
2017,8,1,24767.08,51594344,2083
2017,3,1,240.02,499129,2080
2007,2,1,31435.27,65361306,2079
2018,3,1,304.17,629635,2070
2020,2,2,17548.8,36309112,2069
2016,6,2,88929.61,183257842,2061
2012,7,6,125303.57,258140288,2060
2020,5,4,7942.01,16342561,2058
1997,6,1,751840.0,154161000,2051
1997,2,1,21730.0,44378000,2042
2016,7,4,105741.73,215746590,2040
2014,1,4,558827.95,1135011408,2031
2020,1,0,242470.69,492206224,2030
2021,5,4,8305.19,16844948,2028
2010,4,1,4792.95,9712493,2026
1997,4,4,2100.0,4251000,2024
2019,1,0,238164.36,481769434,2023
2000,4,1,7150.0,14441000,2020
2015,1,2,242894.75,490200198,2018
2014,2,6,2016.18,4068453,2018
2021,8,1,53753.17,108443591,2017
2008,4,1,6823.82,13746677,2015
2015,3,1,371.07,747454,2014
2002,2,1,20482.45,41252556,2014
2008,2,1,31045.76,62437950,2011
2019,9,3,203.83,408743,2005
2011,5,1,808.72,1620428,2004
2014,2,4,64664.97,129540380,2003
2019,2,2,21311.26,42655487,2002
2013,6,0,448545.32,897741759,2001
2017,8,4,40388.03,80674097,1997
2010,7,4,108743.79,216710190,1993
2020,3,4,11126.18,22143704,1990
2017,3,4,10507.78,20889029,1988
2010,7,6,155660.71,308990982,1985
1997,9,1,41740.0,82755000,1983
2018,9,6,107929.86,214003144,1983
2018,2,2,29167.48,57771303,1981
2001,6,1,871250.0,1724724000,1980
2015,6,2,92804.53,183448648,1977
2010,4,4,4682.3,9257859,1977
2017,9,6,107724.17,212867257,1976
2006,2,1,31720.76,62662819,1975
2018,1,0,323936.38,639452375,1974
2007,7,1,220993.46,435995934,1973
2004,6,1,786365.0,1551558100,1973
2022,6,5,1519814.74,2996758806,1972
2008,3,1,284.0,559681,1971
2015,3,4,9923.91,19479552,1963
1998,7,1,165470.0,324638000,1962
1999,6,1,702820.0,1377752000,1960
2010,6,6,857603.04,1678241527,1957
1996,1,1,289690.0,566729000,1956
2012,1,4,733017.68,1432067373,1954
2016,4,1,4080.02,7969537,1953
2020,7,0,89967.31,175567149,1951
2014,1,2,236680.54,461839493,1951
1997,7,6,64340.0,125494000,1950
1996,2,1,20550.0,40001000,1947
2010,6,4,754878.14,1465676728,1942
2019,7,0,93643.58,181893969,1942
2013,1,4,578276.4,1122766952,1942
2011,6,6,815975.59,1583211946,1940
2013,2,4,65933.36,130995716,1940
2010,7,1,278927.61,539079421,1933
2021,6,5,1393455.62,2690467012,1931
2000,6,1,747550.0,1443799000,1931
2018,3,4,10820.72,20879988,1930
2021,1,5,1086374.6,2096462906,1930
2012,5,4,7701.89,14851094,1928
2015,6,3,22369.93,42990350,1922
2011,9,6,100175.69,192507914,1922
2016,6,3,18685.46,35777129,1915
2022,1,5,1177078.03,2254030137,1915
2005,0,1,6863.0,13131100,1913
2009,7,6,113660.3,217003280,1909
2000,0,1,6390.0,12190000,1908
2000,4,4,5310.0,10133000,1908
1997,7,1,163240.0,311344000,1907
2009,6,6,794835.8,1515266300,1906
1999,2,1,29010.0,55272000,1905
2018,7,0,81161.32,154504718,1904
2014,9,2,82129.65,156317271,1903
2012,9,6,105308.56,200169578,1901
1996,7,6,58260.0,110568000,1898
2012,6,0,460544.73,872051015,1894
2018,5,4,7316.23,13837675,1891
1999,9,1,69870.0,131798000,1886
2009,7,1,280446.0,528670080,1885
2020,6,5,1512041.32,2845606691,1882
2021,9,0,85431.88,160688813,1881
2020,1,5,1201283.74,2258240600,1880
2017,1,0,323655.73,608069113,1879
2014,3,1,316.0,591969,1873
2015,9,6,108865.39,203459405,1869
2011,7,6,131162.87,244601954,1865
2022,3,1,725.0,1353733,1865
2020,9,0,94845.64,176359549,1859
2014,7,4,118211.88,219406699,1856
1996,7,1,194650.0,359653000,1848
2009,6,4,677092.3,1259841300,1847
2012,2,4,60122.37,110820634,1843
2019,9,0,91579.93,168685384,1842
2005,6,1,791686.0,1452647800,1835
2013,9,6,111846.34,205272449,1835
2017,2,2,29680.79,54448897,1834
2015,5,4,7304.98,13368997,1830
2014,6,2,99867.65,18289921,1829
2005,2,1,27412.0,50018800,1825
2017,5,4,7151.79,13052730,1825
2014,9,6,112818.67,205033333,1817
2014,3,4,10001.74,18144939,1814
2006,7,1,206397.39,374015890,1812
2010,9,4,155420.96,280858700,1807
2017,7,0,84037.3,151506493,1803
2010,5,6,246.78,444621,1802
2011,9,0,90648.61,163385776,1802
2019,1,5,1200986.74,2161486185,1800
1996,9,4,96140.0,172968000,1799
2004,1,1,258195.0,464411500,1799
2013,1,2,226547.4,407643895,1799
1998,2,1,22050.0,39596000,1796
2018,1,5,1138030.51,2039448271,1792
2019,6,5,1431869.73,2562868888,1790
2018,9,0,94725.02,169417980,1789
2018,6,5,1443847.96,2581457748,1788
2016,9,2,84280.34,150614872,1787
1998,6,1,577570.0,1031438000,1786
2010,6,0,542476.08,968563214,1785
